长度,数量,面积
2386,3,2829.61
2233,3,2829.61
2552,3,2829.61
2686,3,2829.61
2687,3,2829.61
2185,3,2829.61
1465,3,2829.61
2223,3,2829.61
2688,3,2829.61
2687,3,2829.61
2179,6,2829.61
2180,6,2829.61
2307,3,2829.61
1820,3,2829.61
861,3,2829.61
1101,3,2829.61
1993,1,5163.8
1917,1,5163.8
2338,1,5163.8
1517,1,5163.8
1132,1,5163.8
2408,1,5163.8
2531,1,5163.8
2090,1,5163.8
2314,1,5163.8
1391,1,5163.8
1947,1,5163.8
1959,1,5163.8
2025,1,5163.8
2120,1,5163.8
2080,1,5163.8
1952,1,5163.8
2418,1,5163.8
2750,1,5163.8
2751,1,5163.8
3534,1,5163.8
915,5,5163.8
2179,2,5163.8
2180,2,5163.8
2307,1,5163.8
2350,2,5163.8
2351,1,5163.8
1820,1,5163.8
2928,1,5163.8
1987,1,5163.8
1958,1,5163.8
861,1,5163.8
2203,1,5163.8
1101,1,5163.8
1132,1,5163.8
2130,1,5163.8
2388,1,11318.44
2237,1,11318.44
9508,1,11318.44
1500,2,11318.44
1465,1,11318.44
2237,1,11318.44
2238,2,11318.44
2226,1,11318.44
2246,1,11318.44
2244,1,11318.44
2252,1,11318.44
2261,1,11318.44
2545,1,11318.44
2534,1,11318.44
2553,1,11318.44
2011,1,11318.44
1815,2,11318.44
1630,1,11318.44
9692,1,11318.44
10601,1,11318.44
7111,1,11318.44
4988,1,11318.44
2565,1,11318.44
2687,1,11318.44
2688,1,11318.44
2188,1,11318.44
1466,1,11318.44
2224,1,11318.44
2689,1,11318.44
2689,1,11318.44
8707,1,11318.44
11653,1,11318.44
7907,17,14378.55
7907,1,14378.55
