构件编号,规格,长度,数量,面积,部件编号
GL1-18,[]150*5,2386,3,2829.61,L75
GL1-19,[]150*5,2233,3,2829.61,L76
GL1-34,[]150*5,2552,3,2829.61,L77
GL1-35,[]150*5,2686,3,2829.61,L78
GL1-36,[]150*5,2687,3,2829.61,L79
GL1-37,[]150*5,2185,3,2829.61,L80
GL1-38,[]150*5,1465,3,2829.61,L81
GL1-39,[]150*5,2223,3,2829.61,L82
GL1-40,[]150*5,2688,3,2829.61,L83
GL1-41,[]150*5,2687,3,2829.61,L84
GL2-39,[]150*5,2179,6,2829.61,L70
GL2-39,[]150*5,2180,6,2829.61,L70
GL2-40,[]150*5,2307,3,2829.61,L71
GL2-41,[]150*5,1820,3,2829.61,L72
GL2-42,[]150*5,861,3,2829.61,L73
GL2-43,[]150*5,1101,3,2829.61,L74
GL2-1,[]200*150*8,1993,1,5163.8,L19
GL2-2,[]200*150*8,1917,1,5163.8,L20
GL2-3,[]200*150*8,2338,1,5163.8,L21
GL2-4,[]200*150*8,1517,1,5163.8,L22
GL2-5,[]200*150*8,1132,1,5163.8,L23
GL2-6,[]200*150*8,2408,1,5163.8,L24
GL2-7,[]200*150*8,2531,1,5163.8,L25
GL2-8,[]200*150*8,2090,1,5163.8,L26
GL2-9,[]200*150*8,2314,1,5163.8,L27
GL2-10,[]200*150*8,1391,1,5163.8,L28
GL2-11,[]200*150*8,1947,1,5163.8,L32
GL2-12,[]200*150*8,1959,1,5163.8,L33
GL2-13,[]200*150*8,2025,1,5163.8,L34
GL2-14,[]200*150*8,2120,1,5163.8,L35
GL2-15,[]200*150*8,2080,1,5163.8,L36
GL2-16,[]200*150*8,1952,1,5163.8,L37
GL2-17,[]200*150*8,2418,1,5163.8,L52
GL2-18,[]200*150*8,2750,1,5163.8,L53
GL2-18,[]200*150*8,2751,1,5163.8,L53
GL2-19,[]200*150*8,3534,1,5163.8,L54
GL2-21,[]200*150*8,915,5,5163.8,L2
GL2-24,[]200*150*8,2179,2,5163.8,L5
GL2-24,[]200*150*8,2180,2,5163.8,L5
GL2-25,[]200*150*8,2307,1,5163.8,L6
GL2-26,[]200*150*8,2350,2,5163.8,L7
GL2-26,[]200*150*8,2351,1,5163.8,L7
GL2-28,[]200*150*8,1820,1,5163.8,L9
GL2-29,[]200*150*8,2928,1,5163.8,L10
GL2-31,[]200*150*8,1987,1,5163.8,L12
GL2-32,[]200*150*8,1958,1,5163.8,L13
GL2-33,[]200*150*8,861,1,5163.8,L14
GL2-34,[]200*150*8,2203,1,5163.8,L15
GL2-35,[]200*150*8,1101,1,5163.8,L16
GL2-36,[]200*150*8,1132,1,5163.8,L17
GL2-37,[]200*150*8,2130,1,5163.8,L18
GL1-1,[]350*250*10,2388,1,11318.44,L29
GL1-2,[]350*250*10,2237,1,11318.44,L30
GL1-3,[]350*250*10,9508,1,11318.44,L31
GL1-4,[]350*250*10,1500,2,11318.44,L55
GL1-5,[]350*250*10,1465,1,11318.44,L56
GL1-6,[]350*250*10,2237,1,11318.44,L57
GL1-6,[]350*250*10,2238,2,11318.44,L57
GL1-7,[]350*250*10,2226,1,11318.44,L58
GL1-8,[]350*250*10,2246,1,11318.44,L59
GL1-9,[]350*250*10,2244,1,11318.44,L60
GL1-10,[]350*250*10,2252,1,11318.44,L61
GL1-11,[]350*250*10,2261,1,11318.44,L62
GL1-12,[]350*250*10,2545,1,11318.44,L63
GL1-13,[]350*250*10,2534,1,11318.44,L64
GL1-14,[]350*250*10,2553,1,11318.44,L65
GL1-15,[]350*250*10,2011,1,11318.44,L66
GL1-16,[]350*250*10,1815,2,11318.44,L67
GL1-17,[]350*250*10,1630,1,11318.44,L68
GL1-20,[]350*250*10,9692,1,11318.44,L38
GL1-21,[]350*250*10,10601,1,11318.44,L39
GL1-22,[]350*250*10,7111,1,11318.44,L40
GL1-23,[]350*250*10,4988,1,11318.44,L41
GL1-24,[]350*250*10,2565,1,11318.44,L42
GL1-25,[]350*250*10,2687,1,11318.44,L43
GL1-26,[]350*250*10,2688,1,11318.44,L44
GL1-27,[]350*250*10,2188,1,11318.44,L45
GL1-28,[]350*250*10,1466,1,11318.44,L46
GL1-29,[]350*250*10,2224,1,11318.44,L47
GL1-30,[]350*250*10,2689,1,11318.44,L48
GL1-31,[]350*250*10,2689,1,11318.44,L49
GL1-32,[]350*250*10,8707,1,11318.44,L50
GL1-33,[]350*250*10,11653,1,11318.44,L51
GZ-16,P320*320*12,7907,17,14378.55,Z1
GZ-17,P320*320*12,7907,1,14378.55,Z1
